,index,Strongly Agree,Agree,Disagree,Strongly Disagree,Numerical Value
0,I can easily log-in and log-out my Canvas account.,124,12,1,3,3.84
1,I can access my course using the mobile Canvas app. ,112,17,5,6,3.68
2,I can access my Canvas account using the available computers in JRU.,124,11,2,3,3.83
3,I can easily get help when I have problems with my Canvas account.,103,18,8,11,3.52
4,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,114,12,8,6,3.67
5,I can access my Canvas account outside JRU. ,122,11,6,1,3.81
6,I can clearly understand the lessons on my Canvas modules. ,105,21,9,5,3.61
7,I recognize that the modules in my course are well organized.,116,19,3,2,3.78
8,I can easily manage the navigation of the courses through the desktop version. ,121,16,0,3,3.82
9,I can easily manage the navigation of the courses through the mobile app.,103,18,10,9,3.54
10,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,107,20,5,8,3.61
11,I understand the lessons better with the help of course materials in Canvas. ,110,19,5,6,3.66
12,Canvas course materials make me interested.,109,22,2,7,3.66
13,The course materials on Canvas helped me prepare for: [Face to Face discussions],113,21,1,5,3.73
14,The course materials on Canvas helped me prepare for: [Quizzes],117,16,3,4,3.76
15,The course materials on Canvas helped me prepare for: [Prelim/Mid-term/Final Exam],120,13,3,4,3.78
16,"The course materials on Canvas helped me prepare for: [Other Tasks (Assignments, Forums, etc.)]",116,16,4,4,3.74
17,My instructor knows how to use Canvas.,121,16,3,0,3.84
18,My instructor demonstrated mastery of the subject matter.,115,19,4,2,3.76
19,My instructor encourages me to use Canvas.,124,11,2,3,3.83
20,Canvas has made it easy for me to: [Communicate with my instructor],106,15,10,9,3.56
21,Canvas has made it easy for me to: [Receive class announcements],125,9,3,3,3.83
22,Canvas has made it easy for me to: [Share ideas on group discussions],111,17,7,5,3.67
23,"I can answer the assessment materials (quiz, exam) posted in Canvas.",124,7,4,5,3.79
24,I find the course materials on Canvas aligned with the: [Quizzes],120,9,6,5,3.74
25,"I find the course materials on Canvas aligned with the: [Major (Prelim, Mideterm, Final) Exam]",119,13,4,4,3.76
26,"I find the course materials on Canvas aligned with the: [Other tasks (Assignements, Forums, etc.)]",120,12,5,3,3.78
27,I have been give enough time to accomplish the activities on Canvas.,107,17,5,11,3.57
